throughput:
10,1251.3102
30,1603.7026
50,1612.0528
70,1592.1106
100,1545.2894
200,1406.4797
300,1401.5463
400,1464.679
500,1485.0153
600,1384.5009
700,1403.1111
800,1442.1635
1000,1391.5903
1100,1362.0141
1200,1426.5681
1300,1341.5448
1400,1397.0469
1500,1358.071
latency:
10,0.0112
30,0.0569
50,0.0755
70,0.0965
100,0.1507
200,0.2148
300,0.2651
400,0.3075
500,0.3868
600,0.4807
700,0.5354
800,0.6035
1000,0.7298
1100,0.8286
1200,0.869
1300,0.966
1400,1.051
1500,1.1624
errors:
10,8.0
30,16.0
50,7.0
70,64.0
100,10.0
200,9.0
300,113.0
400,11.0
500,18.0
600,409.0
700,208.0
800,409.0
1000,16.0
1100,107.0
1200,410.0
1300,907.0
1400,209.0
1500,1011.0
