throughput:
10,1568.8469
30,1333.6648
50,1380.671
70,1362.6749
100,1313.9807
200,1290.3177
300,1267.0271
400,1152.957
500,1189.7186
600,1165.1081
700,1160.644
800,1137.8798
1000,1145.6131
1100,1140.1005
1200,1124.1601
1300,1109.1139
1400,1062.4206
1500,997.5228
latency:
10,0.0072
30,0.0619
50,0.0763
70,0.098
100,0.1544
200,0.2326
300,0.2801
400,0.4005
500,0.4597
600,0.5602
700,0.6454
800,0.7162
1000,0.9043
1100,0.9988
1200,1.0898
1300,1.2819
1400,1.372
1500,1.6755
errors:
10,7.0
30,14.0
50,13.0
70,69.0
100,6.0
200,11.0
300,106.0
400,7.0
500,5.0
600,406.0
700,206.0
800,406.0
1000,10.0
1100,112.0
1200,405.0
1300,914.0
1400,213.0
1500,1004.0
