throughput:
10,1535.1693
30,1680.7365
50,1653.5376
70,1648.0498
100,1610.792
200,1528.7057
300,1522.6613
400,1508.6987
500,1528.286
600,1461.9449
700,1550.7247
800,1584.0794
1000,1562.285
1100,1517.0533
1200,1542.3157
1300,1512.2955
1400,1504.7601
1500,1518.0935
latency:
10,0.0075
30,0.0574
50,0.0721
70,0.0914
100,0.1212
200,0.1807
300,0.2245
400,0.2954
500,0.3699
600,0.4531
700,0.5019
800,0.5863
1000,0.6903
1100,0.7559
1200,0.8055
1300,0.9685
1400,0.9733
1500,1.0743
errors:
10,7.0
30,21.0
50,7.0
70,66.0
100,6.0
200,5.0
300,107.0
400,9.0
500,8.0
600,408.0
700,210.0
800,409.0
1000,5.0
1100,109.0
1200,410.0
1300,912.0
1400,214.0
1500,1006.0
