throughput:
10,1483.9718
30,1653.6883
50,1664.6243
70,1634.9473
100,1643.8423
200,1592.7732
300,1505.7491
400,1463.3161
500,1480.3318
600,1443.1497
700,1460.0253
800,1459.7775
1000,1363.6402
1100,1438.1604
1200,1408.7209
1300,1354.9736
1400,1391.8558
1500,1376.0854
latency:
10,0.0081
30,0.0571
50,0.0735
70,0.0935
100,0.1139
200,0.2761
300,0.2474
400,0.3016
500,0.3774
600,0.4594
700,0.5168
800,0.5962
1000,0.7832
1100,0.7993
1200,0.9091
1300,1.0669
1400,1.0731
1500,1.196
errors:
10,7.0
30,23.0
50,11.0
70,67.0
100,5.0
200,6.0
300,105.0
400,12.0
500,15.0
600,411.0
700,210.0
800,404.0
1000,9.0
1100,110.0
1200,409.0
1300,906.0
1400,206.0
1500,1051.0
