throughput:
10,1554.0768
30,1648.3119
50,1683.9136
70,1713.4295
100,1710.0394
200,1794.6022
300,1568.6663
400,1491.9741
500,1506.4588
600,1478.0973
700,1427.9742
800,1437.0924
1000,1483.5671
1100,1442.8463
1200,1390.233
1300,1464.2685
1400,1396.859
1500,1345.929
latency:
10,0.0076
30,0.0571
50,0.0724
70,0.0895
100,0.1156
200,0.2246
300,0.2239
400,0.2974
500,0.3779
600,0.4543
700,0.5232
800,0.5927
1000,0.7114
1100,0.8069
1200,0.99
1300,0.9709
1400,1.1357
1500,1.0934
errors:
10,6.0
30,17.0
50,11.0
70,67.0
100,7.0
200,4.0
300,107.0
400,7.0
500,6.0
600,409.0
700,210.0
800,410.0
1000,3.0
1100,108.0
1200,405.0
1300,910.0
1400,219.0
1500,1008.0
